11965198	Hola, como estas?	11965195	Marimari, chumleymi am?
11965210	Ayer me dolía la cabeza.	11965204	Wüya kutrani ñi longko.
11965215	Me gusta dormir en la tarde.	11965213	Küpa umawtun narantü mew.
11965221	Esta silla está hecha de madera.	11965220	Tüfachi wangko mamüll mew dewmangekey.
11965229	Te corté con un cuchillo.	11965228	Katrüeyu kiñe winu mew.
11965243	Baile con un amigo.	11965240	Pürün kiñe wenüy engu
11965249	Bailamos, el perro incluso.	11965248	Pürüyiñ, ti trewa küto.
11965258	El fue asesinado por el vecino.	11965257	Fey langümngey karukatu mew
11965263	El gato del vecino es más grande que mi gato.	11965262	Ti karukatu ñi ñarki doy fütray tami ñarki mew
11965280	El pájaro de hogar está en su jaula.	11965272	Ti ruka ñi üñüm müley ñi malal mew
11965300	Estoy cansado por estudiar toda la noche.	11965286	Tañi chillkatun kom pun mew ürkülen iñche
11965307	Yo soy el viento que sopla las hojas de los árboles.	11965304	Iñche ta kürüf ta pimun tike aliwen ñi tapül
11965314	El pasto fue cortado.	11965313	Ti kachu katrüngepey
11965319	Se corta la madera.	11965317	Ti mamüll katrüngekey
11965330	Soy perezoso, no me gusta levantarme en la mañana.	11965328	Chofüngen iñche, küpa witrapüralan puliwen mew
11965337	Ese pan es como una roca.	11965336	Tüfeychi kofke reke ngey kiñe kura
11965342	Un escultor hizo una escultura que parece persona.	11965341	Kiñe rütrakurafe dewmay kiñe rütran kura ta kechiley che
11965346	Son el mejor equipo de fútbol; ganan todos los partidos.	11965345	Doy kümengey futfol ñi trokiñ, wewkey komke awkantun
11965349	Es el peor ladrón del pueblo porque siempre lo pillan.	11965348	Rumel pengen mew fey doy weda weñefengey kara mew.
11965353	El puma es más grande que el gato.	11965351	Ti pangi doy fütrangey ta ñarki mew
11965363	Si hubiera trabajado mi tierra, tendría varios frutos.	11965358	Küdawfuli ñi lelfün, nieafun fillke fün
11965379	Aunque me esten doliendo mis dos manos, sigo trabajando.	11965375	Kutranküley rume ñi epu küwü, küdawkalen iñche
11965388	Era muy rápido por eso ni siquiera lo vi.	11965385	Doy lefngey feymew lelilafiñ rume
11965396	Debería dormir más porque todas las tardes ando cansado.	11965393	Komke narantü ürkülen iñche feymew müley ñi doy umawtual
11965403	En mi casa siempre hay pan arriba de la mesa.	11965399	Ñi ruka mew rumel müley kofke wente mesa mew
